"a1","a2","a3","a4","a5","a6","a7","a8","Class"
-75,-33,57,-50,-28,-14,-89,26,"FALSE"
-55,-14,-77,-86,-37,76,-43,59,"FALSE"
10,-11,-96,8,-70,0,14,-97,"TRUE"
-11,-50,13,-52,87,-54,-46,38,"FALSE"
-43,-79,90,67,42,-31,-73,-92,"FALSE"
0,-65,83,-6,-44,-54,-46,-66,"FALSE"
46,-68,19,-75,-12,57,31,94,"TRUE"
-20,-25,53,89,35,-5,74,-97,"FALSE"
-53,-81,34,27,-59,45,29,-41,"FALSE"
-66,-16,-74,79,-83,10,17,-63,"FALSE"
-1,58,6,-93,-94,-12,78,42,"TRUE"
-6,38,-62,57,24,37,32,-48,"TRUE"
36,99,-27,-41,-17,-64,-75,-6,"FALSE"
-39,-57,50,29,-51,2,-86,-39,"FALSE"
64,-52,-63,-23,-73,65,10,-81,"TRUE"
20,26,9,-58,-47,-59,0,-51,"FALSE"
-24,67,-43,38,-69,-50,54,32,"TRUE"
-16,50,84,23,-57,73,57,90,"TRUE"
49,4,-55,93,-96,-48,-1,44,"FALSE"
-17,-80,42,-34,-71,43,33,-36,"FALSE"
-13,-84,95,-86,-93,50,34,-33,"FALSE"
-60,35,48,28,8,0,57,13,"TRUE"
-60,-54,-75,-29,-53,68,-24,59,"FALSE"
18,-56,-47,-10,-46,-31,-99,-22,"TRUE"
-17,-29,71,-51,-23,64,0,30,"FALSE"
40,-32,75,58,68,71,-71,-83,"TRUE"
-91,3,69,-10,-72,92,1,-20,"TRUE"
41,82,11,-63,74,-75,43,-87,"FALSE"
57,52,91,65,-11,-26,-2,68,"FALSE"
-56,31,43,-56,-91,-47,47,30,"TRUE"
-1,13,-93,-41,93,-42,0,68,"TRUE"
-41,-77,50,-1,53,80,37,99,"FALSE"
-55,-33,-31,-92,79,-38,-9,-47,"FALSE"
-90,92,0,19,-37,60,15,-35,"TRUE"
-93,-64,-64,8,5,37,97,-98,"FALSE"
-14,18,9,70,-13,-4,-44,-57,"TRUE"
92,-88,97,-9,15,-56,74,52,"TRUE"
81,48,-73,-61,49,-35,72,0,"FALSE"
24,-90,-32,51,-20,52,19,-88,"TRUE"
-8,-78,-31,-16,-51,76,49,25,"FALSE"
-32,5,52,-98,-26,46,-82,-1,"TRUE"
58,4,63,70,-2,-66,72,-51,"FALSE"
-77,65,29,-52,-1,-82,-5,-77,"TRUE"
-16,-17,-39,5,-1,-53,-23,-89,"FALSE"
-45,91,62,-91,84,99,28,15,"TRUE"
49,-82,-64,-59,62,-94,86,-94,"TRUE"
-25,-45,-40,60,62,-1,-93,45,"FALSE"
-55,28,84,80,-61,2,21,21,"TRUE"
55,-25,-2,12,89,-89,29,-26,"TRUE"
-29,-64,-18,-57,31,99,21,-95,"FALSE"
32,-11,-77,-65,39,11,-58,7,"TRUE"
77,-52,-98,-71,-86,-99,-26,-63,"TRUE"
-68,76,59,-75,63,-42,-65,-91,"TRUE"
-55,3,88,24,45,-11,-27,-19,"TRUE"
-75,-80,-59,-86,-9,28,35,85,"FALSE"
31,-63,75,19,-57,22,-53,-49,"TRUE"
98,-90,55,-42,67,46,99,51,"TRUE"
85,19,-39,-23,59,-90,-23,58,"FALSE"
50,-11,-73,19,21,-75,-46,-27,"TRUE"
95,53,68,40,-3,92,-5,70,"FALSE"
98,61,63,23,-1,-3,-60,-37,"FALSE"
-5,51,21,43,-62,88,-62,15,"TRUE"
-33,-72,-26,-91,-72,51,86,34,"FALSE"
-66,26,30,15,-83,-6,46,57,"TRUE"
41,50,89,25,-47,-11,-74,52,"FALSE"
98,-64,88,77,21,19,36,-53,"TRUE"
79,39,95,55,53,-44,-34,62,"FALSE"
-76,70,89,88,27,50,-2,75,"TRUE"
-77,64,-70,85,28,54,-60,84,"TRUE"
-5,-39,21,-47,-69,89,71,-49,"FALSE"
-53,-99,88,-83,21,36,-14,-94,"FALSE"
-40,63,86,-52,69,-31,-33,-45,"TRUE"
-34,-16,-11,-86,88,-34,36,-23,"FALSE"
-77,14,4,35,27,52,-70,88,"TRUE"
79,3,49,88,-82,-41,19,-38,"FALSE"
-30,-1,-28,-42,61,94,59,-9,"FALSE"
47,-8,66,64,-81,-88,-19,20,"TRUE"
-70,-62,89,-61,32,-65,25,98,"FALSE"
17,57,57,74,-65,-83,-53,24,"FALSE"
-91,68,-1,-63,-77,27,96,-86,"TRUE"
-79,30,80,2,47,57,53,58,"TRUE"
-86,-12,26,-88,-45,36,-90,-26,"FALSE"
65,-79,-63,82,-48,-79,27,93,"TRUE"
29,-96,-35,-95,-70,23,-32,12,"TRUE"
20,24,-12,-57,59,82,68,73,"FALSE"
45,-49,31,98,-7,-41,86,25,"TRUE"
49,-91,-35,58,25,95,-2,57,"TRUE"
-46,36,-95,-48,67,-71,36,0,"TRUE"
18,23,-17,94,-4,-89,25,-48,"FALSE"
77,54,-13,21,91,100,58,-36,"FALSE"
-89,-53,60,-60,-65,65,34,45,"FALSE"
84,-87,48,68,-18,10,43,15,"TRUE"
51,-9,1,73,-39,14,-15,-46,"TRUE"
45,4,12,54,-61,-71,-80,6,"FALSE"
-70,-12,-11,36,-70,-25,-21,56,"FALSE"
18,-40,82,34,-13,46,63,-4,"TRUE"
-68,-38,-24,27,6,54,89,48,"FALSE"
73,-3,20,-42,74,91,-86,-20,"TRUE"
51,27,79,88,-97,-47,57,-91,"FALSE"
-74,25,-36,7,-69,12,83,-68,"TRUE"
-52,67,69,66,-80,-24,-79,-5,"TRUE"
-93,-65,-48,40,-16,93,49,12,"FALSE"
-68,-26,-75,27,-79,-42,-47,23,"FALSE"
80,-48,-69,63,75,57,-12,82,"TRUE"
-92,-44,30,81,40,27,-96,33,"FALSE"
99,86,-96,33,86,-71,92,-72,"FALSE"
86,13,-10,-96,3,89,41,26,"FALSE"
-55,86,-33,-12,16,-71,52,-40,"TRUE"
56,66,-44,-68,41,-59,90,3,"FALSE"
69,-24,-44,28,-25,-85,-85,91,"TRUE"
18,21,82,89,-52,-14,-36,-91,"FALSE"
22,-36,89,-68,-99,53,-53,-47,"TRUE"
88,-8,-40,57,-81,36,16,-36,"TRUE"
92,99,41,-34,-91,25,57,-11,"FALSE"
24,68,99,55,-54,-67,51,56,"FALSE"
-75,-39,95,54,86,51,-77,77,"FALSE"
-88,-73,-2,93,-7,-52,-40,53,"FALSE"
31,-4,61,-46,3,53,-62,-88,"TRUE"
54,-60,43,-97,-66,2,69,85,"TRUE"
53,14,-25,-88,-73,-14,-16,59,"FALSE"
-75,-8,47,-74,68,68,-76,-47,"FALSE"
4,18,-33,99,-8,36,92,83,"FALSE"
-75,57,85,-66,1,60,38,-16,"TRUE"
-1,60,89,-91,26,-20,72,-10,"TRUE"
29,91,78,-13,-11,9,-97,57,"FALSE"
-54,-15,15,31,56,-40,85,56,"FALSE"
-55,22,65,83,-89,67,-39,42,"TRUE"
-53,52,77,-15,20,71,-36,30,"TRUE"
64,15,-24,84,-58,35,-26,5,"FALSE"
-88,61,79,-42,29,-97,-94,27,"TRUE"
41,58,-42,80,27,55,-58,-80,"FALSE"
51,15,-25,98,-70,-97,39,26,"FALSE"
-81,-57,-73,-9,-53,-71,-10,13,"FALSE"
-28,-89,77,-49,33,-63,-16,72,"FALSE"
32,83,-2,-39,-64,6,2,55,"FALSE"
84,31,27,63,-15,10,2,-88,"FALSE"
58,-63,43,75,-9,90,48,52,"TRUE"
-14,-36,73,71,32,-97,-67,63,"FALSE"
-69,-83,-72,-25,-8,9,20,-74,"FALSE"
39,44,-4,-83,-7,47,-10,-47,"FALSE"
-23,-71,-83,-63,-93,65,79,15,"FALSE"
64,-45,37,-72,43,45,29,-74,"TRUE"
46,-43,-64,71,-3,-9,14,18,"TRUE"
-64,30,-80,43,78,18,61,-59,"TRUE"
94,-75,65,-99,21,61,-30,5,"TRUE"
40,35,65,-71,68,85,13,-12,"FALSE"
-18,82,93,-1,40,-65,-84,-14,"TRUE"
46,58,51,-76,94,26,57,-17,"FALSE"
-55,-78,-8,-38,23,-40,36,-95,"FALSE"
87,90,14,89,63,48,-75,-19,"FALSE"
58,-3,-87,-21,-73,-46,91,-19,"TRUE"
-34,94,12,16,96,-64,98,47,"TRUE"
49,-86,75,68,77,-41,34,41,"TRUE"
0,68,-19,-40,-59,-30,15,-44,"FALSE"
-25,21,96,-70,80,34,-89,-54,"TRUE"
-69,-17,95,50,-3,-61,-59,1,"FALSE"
85,-15,96,-51,25,-67,47,-32,"TRUE"
69,-19,-13,-17,-49,-78,7,-64,"TRUE"
71,64,-90,15,-67,98,-44,-43,"FALSE"
74,-13,19,-28,-29,81,-33,11,"TRUE"
-74,-66,6,15,-22,-44,-19,-75,"FALSE"
83,-89,58,62,-34,55,-4,-96,"TRUE"
-12,37,-52,-21,90,-31,98,-31,"TRUE"
-5,19,90,-8,-17,-43,-85,87,"TRUE"
-33,86,-61,42,-73,33,95,-35,"TRUE"
-59,50,-58,45,32,-63,0,-94,"TRUE"
-96,-79,-26,80,-14,88,-69,-43,"FALSE"
-37,-62,33,36,-41,23,74,-94,"FALSE"
-64,98,-85,-1,52,69,0,62,"TRUE"
-58,-78,-58,40,87,-2,2,92,"FALSE"
-6,40,68,-14,-46,0,100,-55,"TRUE"
-67,70,-72,-8,47,-39,15,63,"TRUE"
63,-20,37,34,42,67,-32,65,"TRUE"
-44,-13,6,51,9,-81,-51,-27,"FALSE"
-31,43,-62,-73,-37,-31,-37,-42,"TRUE"
62,96,78,-46,98,89,-14,2,"FALSE"
58,-95,-57,94,-56,-19,84,5,"TRUE"
34,98,-12,-95,-7,-38,58,2,"FALSE"
-8,74,-17,35,99,-50,18,25,"TRUE"
38,63,73,79,51,6,16,50,"FALSE"
96,-73,13,26,87,-10,33,-60,"TRUE"
-23,97,-97,-82,84,-28,77,34,"TRUE"
-2,-6,-32,-99,77,-46,37,-21,"FALSE"
31,-32,60,-9,36,31,-96,-60,"TRUE"
24,-64,50,30,68,8,78,27,"TRUE"
23,-63,69,43,92,48,-79,-84,"TRUE"
-74,6,28,13,-62,-47,-16,-18,"TRUE"
-13,72,-30,-84,21,-52,-95,-12,"TRUE"
-8,63,-11,8,-94,22,81,-53,"TRUE"
-96,-2,47,92,-5,86,-81,-36,"FALSE"
13,40,14,-31,-76,-42,81,-50,"FALSE"
19,0,88,-35,-20,41,-82,-75,"FALSE"
-21,19,42,1,60,28,15,-86,"TRUE"
-56,-60,-98,49,-51,-46,82,-5,"FALSE"
66,5,5,49,-81,-39,-45,-68,"FALSE"
40,5,-73,47,43,-81,25,-60,"FALSE"
-78,-61,-51,83,1,-73,60,90,"FALSE"
88,-29,89,75,2,-70,-13,82,"TRUE"
-7,-86,-66,-60,-54,17,-68,28,"FALSE"
87,-43,-65,37,-80,-28,-30,-69,"TRUE"
0,32,-39,36,92,63,-11,56,"TRUE"
-72,59,35,44,49,-29,-42,-25,"TRUE"
-16,68,55,58,1,-13,5,89,"TRUE"
77,98,34,96,88,2,-2,-67,"FALSE"
80,-41,79,13,20,78,18,2,"TRUE"
-32,12,65,-86,-52,-25,34,30,"TRUE"
-20,34,-80,6,0,-10,79,-77,"TRUE"
-77,-58,-46,98,49,91,-16,-83,"FALSE"
-40,-7,68,48,24,-21,91,-80,"FALSE"
-27,92,-23,32,-72,69,14,64,"TRUE"
79,87,-81,23,-92,8,25,-2,"FALSE"
70,87,-41,91,57,-76,52,-66,"FALSE"
20,27,-61,68,-43,71,2,-35,"FALSE"
-28,56,-9,-28,-3,16,-22,-25,"TRUE"
66,-5,-40,-49,-71,91,94,77,"TRUE"
-73,86,-98,58,-40,1,-68,19,"TRUE"
-28,-58,-33,-98,1,1,-66,-38,"FALSE"
94,43,-87,-15,-19,35,-26,74,"FALSE"
-10,44,-40,21,-56,95,25,85,"TRUE"
56,63,2,-73,99,-42,0,11,"FALSE"
-84,3,-87,63,-51,71,0,61,"TRUE"
-11,25,94,-1,79,65,-51,-93,"TRUE"
0,-13,73,80,51,-51,21,90,"FALSE"
40,14,55,-65,-62,6,-7,-85,"FALSE"
-94,-39,-78,23,-15,1,-81,-54,"FALSE"
42,57,-80,99,30,-69,59,22,"FALSE"
90,-29,15,12,-96,76,-57,-94,"TRUE"
27,32,63,90,-70,-46,11,4,"FALSE"
1,18,34,68,12,-37,29,96,"FALSE"
-3,-65,81,65,-65,-53,-33,55,"FALSE"
-26,-14,-51,-75,-52,-10,-32,-46,"FALSE"
-94,34,-9,31,-75,-16,73,65,"TRUE"
0,-55,-44,98,19,-60,-61,72,"FALSE"
-23,-33,-52,91,94,-26,40,-50,"FALSE"
74,51,-23,-29,-62,-11,80,-28,"FALSE"
-50,22,0,12,-91,-80,75,-77,"TRUE"
-27,-57,4,31,-92,-1,72,76,"FALSE"
50,56,-59,19,79,-5,-35,9,"FALSE"
50,-70,40,48,98,99,-76,-22,"TRUE"
-8,92,-67,-10,-14,-49,-91,-67,"TRUE"
99,-84,31,-71,10,29,72,54,"TRUE"
-79,99,74,16,4,-24,72,1,"TRUE"
45,73,-79,-91,0,46,10,79,"FALSE"
-21,-3,67,9,96,-30,-32,41,"FALSE"
24,41,4,-67,-95,47,85,-73,"FALSE"
-55,69,28,-85,-62,-9,27,7,"TRUE"
-13,-77,-59,42,-57,54,8,34,"FALSE"
67,63,-74,18,5,-42,11,-5,"FALSE"
2,42,-89,-21,85,-43,44,-9,"FALSE"
41,-28,0,44,-94,66,-96,12,"TRUE"
40,-28,-22,-53,-53,16,-96,90,"TRUE"
-28,-95,-60,-4,88,-2,-45,-25,"FALSE"
45,-84,-55,-89,-67,-50,18,-52,"TRUE"
-81,-13,-92,-98,90,82,44,-9,"FALSE"
76,-67,-82,29,-42,-35,-16,86,"TRUE"
30,-30,17,-27,57,37,56,-68,"TRUE"
57,-87,-68,65,-20,62,27,-34,"TRUE"
99,-59,-82,24,-54,81,-31,89,"TRUE"
0,66,94,75,-90,-69,-61,96,"TRUE"
15,-36,37,-96,16,-32,30,18,"TRUE"
88,-45,-59,-51,93,-21,16,-50,"TRUE"
96,-81,65,80,56,18,-82,60,"TRUE"
31,53,17,67,-70,70,79,-79,"FALSE"
54,-70,67,13,-45,-47,60,-41,"TRUE"
86,-80,47,1,-61,63,-28,-38,"TRUE"
-46,-36,94,-78,-64,95,-91,-23,"FALSE"
-90,55,-73,-13,52,-75,23,32,"TRUE"
-64,64,-95,-68,44,98,56,-94,"TRUE"
37,-71,-5,-61,-52,92,-46,62,"TRUE"
80,-20,-72,-96,6,-26,-16,19,"TRUE"
-67,-90,-5,2,-79,5,54,38,"FALSE"
-85,-16,-36,0,-1,34,-38,19,"FALSE"
49,36,49,-63,-7,17,-90,-12,"FALSE"
-98,-91,-32,15,57,86,-87,4,"FALSE"
3,-86,8,-90,22,-20,44,-5,"TRUE"
74,-78,-23,20,12,5,74,39,"TRUE"
36,-97,-87,66,96,8,-73,19,"TRUE"
46,-29,69,30,-60,7,-31,-64,"TRUE"
62,20,46,-16,23,71,42,-22,"FALSE"
20,70,20,36,81,37,-55,2,"FALSE"
-93,87,41,1,89,-91,-75,-96,"TRUE"
67,70,-73,-33,-65,35,-26,66,"FALSE"
-82,-14,9,-25,65,-43,-66,81,"FALSE"
-18,92,-55,-96,-15,1,-38,95,"TRUE"
44,91,-28,-5,-16,-39,8,-26,"FALSE"
75,-67,-8,71,-35,63,46,-92,"TRUE"
68,64,-1,14,-89,43,-62,95,"FALSE"
68,-49,55,89,-88,40,-2,62,"TRUE"
-9,68,25,-60,-33,-93,60,0,"TRUE"
-37,54,-18,-33,-58,-78,54,67,"TRUE"
-75,-81,-33,92,-95,-77,-60,-56,"FALSE"
-17,69,-84,-42,-52,-28,39,-43,"TRUE"
11,74,-70,95,-43,-56,-37,-35,"FALSE"
44,-17,46,77,9,16,0,-91,"TRUE"
-59,18,-78,-21,89,-18,-1,-52,"TRUE"
-18,81,-49,9,-72,39,64,44,"TRUE"
25,81,32,94,-82,-12,-27,-60,"FALSE"
-46,-1,84,14,-67,48,74,-94,"FALSE"
40,-10,-54,52,21,-22,27,-5,"TRUE"
11,-84,-73,76,58,-33,78,-96,"TRUE"
-66,19,84,-6,-49,-41,88,-36,"TRUE"
81,48,-95,-19,-91,-55,-61,72,"FALSE"
63,14,-26,67,19,28,98,74,"FALSE"
-15,-24,-36,-70,-30,-74,73,-6,"FALSE"
-29,-26,-20,-79,-19,4,79,60,"FALSE"
-48,-24,-58,41,80,-47,60,19,"FALSE"
-95,-20,80,-78,72,-8,-39,-57,"FALSE"
86,-48,16,-41,-4,61,47,21,"TRUE"
-9,-71,19,66,24,98,-24,-17,"FALSE"
42,-32,51,31,-21,-57,-25,37,"TRUE"
-84,-97,17,43,-17,-52,52,-22,"FALSE"
98,26,84,-56,-79,-50,41,-20,"FALSE"
